京の食文化ミュージアムあじわい館,KYOTOAJIWAIKAN
京都ハンディクラフトセンター,KYOTOHANDICRAFTCENTER
ユニバーサルスタジオジャパン,USJ
京都国際マンガミュージアム,KYOTOMANGAMUSEUM
ハンディクラフトセンター,KYOTOHANDICRAFTCENTER
角屋もてなしの文化美術館,SUMIYAMUSEUM
ホテルマイステイズ京都,HOTELMYSTAYSKYOTO
京都伝統産業ふれあい館,KYOTOMUSEUMOFTRADITOINALCRAFTS
リーガロイヤルホテル,RIHGAROYALHOTEL
ニッポンレンタカー, NIPPONRENTACAR
マンガミュージアム,KYOTOMANGAMUSEUM
松竹京都映画撮影所,SHOCHIKUKYOTOSTUDIO
第二タワーホテル, DAINITOWERHOTEL
グランヴィア京都,GRANVIAKYOTO
ホテル近鉄京都駅,HOTELKINTETSUKYOTOSTATION
第二タワーホテル,DAINITOWERHOTEL
東映京都撮影所,TOEISTUDIOKYOTO
先斗町歌舞練場,PONTOCHOKABURENJO
京都鉄道博物館,KYOTORAILWAYMUSEUM
京都国立博物館,KYOTONATIONALMUSEUM
ヨドバシカメラ,YODOBASHICAMERA
みどりの窓口, MIDORINOMADOGUCHI
ハトヤ瑞鳳閣,HATOYAZUIHOKAKU
グランヴィア,GRANVIAKYOTO
トロッコ嵐山,TOROKKOARASHIYAMA
石清水八幡宮,IWASHIMIZUHACHIMAN
関西国際空港,KANKU
伏見稲荷大社,FUSHIMIINARITAISHA
イオンモール,AEONMALL
ビックカメラ,BICCAMERA
京都タワー,KYOTOTOWER
新都ホテル,NEWMIYAKOHOTEL
東急ホテル,TOKYUHOTEL
阪急ホテル,HANKYUHOTEL
おごと温泉,OGOTOONSEN
西本願寺前,NISHIHONGANJIMAE
神宮丸太町,JINGUMARUTAMACHI
あじわい館,KYOTOAJIWAIKAN
ふれあい館,KYOTOMUSEUMOFTRADITOINALCRAFTS
北野天満宮,KITANOTENMAGU
保津川下り,HOZUGAWAKUDARI
上賀茂神社,KAMIGAMOJINJA
修学院離宮,SHUGAKUINIMPERIALVILLA
三十三間堂,SANJUSANGENDO
京都タワー,KYOTOTOWER
下賀茂神社,SHIMOGAMOJINJA
猿田彦神社,SARUTAHIKOJINNJYA
アバンティ,AVANTI
東急ハンズ,TOKYU_HANDS
京都タワー,KYOTOTOWER
嵯峨嵐山, SAGAARASHIYAMA
嵯峨嵐山,SAGAARASHIYAMA
祇園四条,GIONSHIJO
二条城前,NIJOJOMAE
祇園四条,GIONSHIJO
四条烏丸,SHIJOKARASUMA
京都御所,KYOTOIMPERIALPALACE
平安神宮,HEIANJINGUSHRINE
八坂神社,YASHAKAJINJA
東本願寺,HIGASHIHONGANJI
西本願寺,NISIHIHONGANJI
貴船神社,KIFUNEJINJA
ユニクロ,UNIQLO
八条口, HACHIJOGUCHI
烏丸口, KARASUMAGUCHI
中央口, CHUOGUCHI
駅ビル,EKIBIRU
篠山口,SASAYAMAGUCHI
東岡山,HIGASHIOKAYAMA
天王寺,TENNOJI
天橋立,AMANOHASHIDATE
新大阪,SHINOSAKA
極楽橋,KOYASAN
河原町,KAWARAMACHI
東福寺,TOFUKUJI
今出川,IMADEGAWA
名古屋,NAGOYA
清水寺,KIYOMIZUDERA
高野山,KOYASAN
USJ,USJ
本能寺,HONOJI
方広寺,HOKOJI
二条城,NIIJOJO
広隆寺,KORYUJI
南禅寺,NAZENNJI
知恩院,TIONIN
高台寺,KODAIJI
桂離宮,KATSURAIMPERIALVILLA
銀閣寺,GINAKUJI
銀閣寺,SHOKOKUJI
金閣寺,KINKAKUJI
金閣寺,ROKUONJI
建仁寺,KENNIJI
平等院,BYODOIN
伊勢丹,ISETAN
駅ビル,EKIBIRU
特急, TOKKYU
分煙, BUNEN
関空,KANKU
大阪,OSAKA
太秦,UZUMASA
柘植,TSUGE
芦屋,ASHIYA
金沢,KANAZAWA
札幌,SAPPORO
宇治,UJI
高槻,TAKATSUKI
奈良,NARA
尼崎,AMAGASAKI
博多,HAKATA
嵐山,ARASHIYAMA
東山,HIGASHIYAMA
五条,GOJO
四条,SHIJO
東寺,TOJI
敦賀,TSURUGA
山科,YAMASHINA
広島,HIROSHIMA
桂川,KATSURAGAWA
京都,KYOTO
東京,TOKYO
神戸,KOBE
稲荷,INARI
藤枝,FUJIEDA
竹田,TAKEDA
鯖江,SABAE
角屋,SUMIYAMUSEUM
御所,KYOTOIMPERIALPALACE
東寺,TOJI
太秦,UZUMASA
堺,SAKAI
